vague_phrases,scores
We may also collect information regarding the links within such marketing materials that you click on and purchase statistics regarding items you buy following receipt of such marketing .,1.4
"When you interact with Barnes & Noble in certain ways , you may be eligible to receive certain marketing-related and promotional communications as well as special offers ( collectively `` Promotional Communications '' ) from Barnes & Noble that may include advertisements from third parties .",3.4
"While we are focused on the security of your personal information and follow strict standards , processes and procedures that are designed to protect your personal information , you must remember that the Internet is a global communications vehicle open to threats , viruses and intrusions from others and so we can not promise , and you should not expect , that we will be able to protect your personal information at all times and in all circumstances .",3.0
"In addition , we use industry-standard technology , such as Secure Sockets Layer ( SSL ) encryption technology in the transmission of certain sensitive personal information , designed to prevent unauthorized persons from gaining access to your personal information , and , as technology develops , we intend to take additional measures to improve security .",2.8
"We take significant and appropriate security measures , including physical , technological and procedural measures , to help to safeguard your personal information and to prevent unauthorized access and disclosure .",3.4
"In connection with purchases of certain Digital Content , we may need to forward information about you ( including , for example , your Internet Protocol ( IP ) address ) to the Digital Content provider in order to enable you to download or purchase Digital Content from or through that provider .",3.4
These are third parties that provide products and services you may purchase or request from or through us .,2.25
These third parties do not have the right to use personal information we provide to them in any way that is not authorized by Barnes & Noble .,3.4
"We provide personal information to third party service providers , subcontractors , and agents that work under contract on our behalf to provide certain services .",3.6
These third parties do not have the right to use personal information we provide to them in any way that is not authorized by Barnes & Noble .,3.0
They are contractually obligated to use such information only as necessary to assist us and to maintain the confidentiality and security of such information .,2.25
Third party providers of products and services .,3.4
"These products and services may include , without limitation : ( i ) to enable purchases of Digital Content by you and provide Digital Content to you , ( ii ) to allow you to access , view and consume your Digital Content and provide related services to you , ( iii ) to publish certain Digital Content created by users and customers ( as may be more fully set forth in any applicable terms or policies related thereto ) , ( iv ) to create and manage cross company user accounts and applications related to your Devices and Digital Content , including in connection with the integration between the Microsoft user and ID systems and Microsoft commerce platform and our products and services , ( v ) to offer joint product or service offerings , ( vi ) to provide customer support , ( vii ) to provide information to you regarding Microsoft product and service offerings , and ( viii ) as otherwise reasonably determined by us .",2.8
Please note that any information provided to Microsoft will be treated by Microsoft in accordance with its applicable privacy policies in effect from time to time .,2.2
"Service providers , subcontractors and agents who perform services on our behalf .",3.0
We may partner with third party distributors of advertisements to deliver advertisements about our products and services when you visit other websites across the Internet .,2.5
Third Party Websites and Web-Tracking,1.25
"Please note that , as permitted by law , we may charge a nominal fee for information requests and may require you to prove your identity .",2.2
Third Party Applications : We are not responsible for third party applications you may download and install on your Devices .,2.0
"In such a case , we would require our business partner to disclose their data collection and sharing practices with you , and obtain your prior affirmative consent .",1.8
"While Barnes & Noble uses reasonable efforts to ensure that applications offered through our Application Stores meet compatibility and safety testing criteria , this Privacy Policy does not cover any data collection , use , or sharing by mobile device manufacturers , network service providers or third party application providers , unless such party has entered into a separate agreement with us as a business partner to share your personal information .",3.0
All other collection of personal information by a third party application provider shall be subject to the terms of such provider 's privacy policy .,3.0
Our use of any shared data under such an agreement would then be governed by our privacy policy .,1.5
Please be advised that Barnes & Noble may archive information it collects on its community and visitors .,2.0
"We may collect personal information and other information about you from business partners , contractors and other third parties .",3.25
"However , you can not currently change your profile name although you may re-register and choose a new name .",1.25
"This information may be used to provide certain device or application functionality or to offer , provide and improve products and services .",3.25
"In addition , to provide location-based services on Devices or through Apps , Barnes & Noble and third party application providers may automatically collect real-time geographic location information or other location-based information about you and your Device or other mobile device on which the App is installed .",2.75
"This may include information regarding your reading or , in the case of videos , viewing behavior on such Devices or Apps , such as books or videos opened , page turns , bookmarks , annotations , or customer reviews .",1.25
"For example , we may receive and collect information concerning device registration , settings , usage , firmware version , signal strength , search queries , network interaction , the name of the network from which you access the Internet , the Internet Protocol ( IP ) address of the device you are using , unique device identifiers ( UDIDs ) , downloads , sideloaded content , configuration , or service information relating to any malfunction of the Device or App .",1.75
"Additionally , by using Lark Crafts and/or Pixiq 's various interactive offerings , you agree to receive communications from Barnes & Noble , Lark Crafts , Pixiq , other users , and moderators related to the provision of these services .",2.6
"Magazine , catalog and newspaper publishers may use this information to fulfill your order and for other purposes .",2.6
"We may share your information with your college or university , lenders or other providers in order to process payments if you choose these payment methods .",2.6
"If Barnes & Noble becomes involved in a merger , acquisition , restructuring , reorganization , or any form of sale or other disposition of some or all of its assets , personal information and your transaction history may be provided to the entities and advisors involved subject to a confidentiality agreement , and we will provide notice to you at your email address on file before any personal information is finally transferred and becomes subject to a different privacy policy .",2.6
"Such a transaction may involve us ( i ) retaining the right to continue to use transferred personal information in addition to the right of the transferee to use such information , and ( ii ) engaging in additional transfers of personal information ( including new personal information ) with the transferee from time to time following such a transaction .",2.6
"In connection with some Digital Content orders , in order to complete your transaction , we may need to forward your name , magazine , catalog or newspaper order , email address , and shipping or billing address to our content providers .",1.6
"Even if you opt-out of receiving Promotional Communications , you may continue to receive e-mails relating to order confirmations , back order notifications , membership information , and/or other business-related communications .",2.25
You can change your personal information and your communication preferences when you follow this link .,1.25
"If you do not have a barnesandnoble.com account , you may opt-out of the receipt of such communications by clicking on the opt-out link provided at the bottom of each e-mail and following the instructions .",1.0
"For Barnes & Noble Educator program : Any Educator can opt-out of the receipt of any promotional communications by logging on to their barnesandnoble.com Account , clicking `` Communication Preferences , '' and following instructions under `` Change Communication Preferences . ''",1.0
"If you do not have a barnesandnoble.com account , you may opt-out of the receipt of such communications by selecting the link at the bottom of any promotional e-mail communication and following the instructions .",1.0
For barnesandnoble.com : Any account holder can opt-out of the receipt of any promotional communications by logging onto their Account and following the instructions under `` Communication Preferences '' .,1.25
"If you do not have a barnesandnoble.com account , you may opt-out of the receipt of such communications by selecting the link at the bottom of any promotional e-mail communication and following the instructions .",1.0
For Barnes & Noble Member program : Any Member can opt-out of the receipt of any Member program promotional communications by logging on to their barnesandnoble.com Account and following the instructions under `` Change Your Communication Preferences . '',1.0
We work with certain third party entities to help them administer their own membership or rewards programs by providing them with purchasing information about their customers who make purchase from Barnes & Noble .,2.2
"With your consent , we may collect , use and share information regarding Minors under the age of 13 consistent with this Privacy Policy .",1.6666666666666667
"If we direct certain Devices features or Apps to Minors who may be under the age of 13 , we require the parent or legal guardian to provide verifiable consent to such Minor 's use of our products and services and our collection of personal information in connection with such use .",2.0
"We will , at your request , remove personal information about your child from its database and instruct our affiliates and third party partners to do the same .",2.2
"Whenever you click on links and banners on any Barnes & Noble Website that take you to a third party website , you will be subject to the third party 's privacy policies , not Barnes & Noble 's .",1.25
"In some instances , we may offer a service or feature that is co-branded by Barnes & Noble and a third party company .",2.8
"Barnes & Noble may release personal information to third parties when we determine , in our judgment , that it is necessary to ( a ) comply with the law , regulation , legal process , or enforceable governmental request ; ( b ) enforce or apply the terms of any of our policies or user agreements ; or ( c ) protect the rights , property or safety of Barnes & Noble , our employees , our customers , users , or others .",3.6
"Although Barnes & Noble 's treatment of the information is governed by this policy , the third party 's treatment of your information will be subject to the third party 's privacy policy .",2.4
"If you provide information in connection with such co-branded service or feature , that information may be shared between Barnes & Noble and the third party .",2.6
"In some instances , we may operate a Barnes & Noble Website on behalf of a third party .",2.8
"Although Barnes & Noble 's treatment of the information is governed by this policy , the third party 's treatment of your information will be subject to the third party 's privacy policy .",2.6
"If you provide information in connection with a Barnes & Noble Website operated by Barnes & Noble on behalf of a third party , that information may be shared between Barnes & Noble and the third party .",3.6
"For example , if you link your UltraViolet account with your account with us , we may collect certain information regarding movies or television shows you have purchased from third parties as part of your UltraViolet collection of digital content .",2.75
"If you rent or purchase textbooks from Barnes & Noble College Booksellers , we may also collect information about you from your college or university .",2.5
"This information may be used for a number of purposes including providing our services to you , sending postal mail and e-mail , fulfilling orders , removing repetitive or unnecessary information from customer lists , analyzing data , providing marketing support , customer authentication , providing search results and links ( including paid listings and links ) , providing customer service and processing credit card payments .",2.0
"If you link your account with us to your UltraViolet account , we may collect information regarding UltraViolet-enabled movies and television shows you have purchased from third party retailers .",3.4
This will enable you to download or stream movies or television shows from us that you have purchased from us from such third parties .,2.0
"The data protection and privacy laws of other countries , including the United States , may not afford you the same level of protection as those in your own country .",2.0
"Additionally , Barnes & Noble may transfer your personal information to other countries , for example because a server or third party service provider is located there .",4.4
Barnes & Noble will take appropriate steps to protect your information .,2.8
"Barnes & Noble uses your personal information to provide you with a superior customer experience and , as necessary , to administer our business .",2.4
"For Barnes & Noble Booksellers : At any time , a customer may choose to opt-out of the receipt of any promotional communications by clicking on the opt-out link provided at the bottom of each e-mail and following the instructions , or by e-mailing our Customer Service Department by clicking here .",1.25
"For Barnes & Noble College Booksellers : At any time , a customer may choose to opt-out of the receipt of any promotional communications by clicking on the opt-out link provided at the bottom of each e-mail and following the instructions .",1.5
"Where you have consented to receiving Promotional Communications from the Barnes & Noble enterprise , you may choose to opt-out at any time by following the instructions below .",1.5
The most common of these circumstances include :,1.5
"Although Barnes & Noble 's treatment of this information is governed by this policy , the use of your information by the third party financial institutions and their vendors and contractors will be subject to their own privacy policies .",2.0
"In addition , our website includes links to other websites whose privacy practices may differ from those of Barnes & Noble .",2.0
"Additionally , by participating in the Barnes & Noble online interactive community , and using Barnes & Noble 's various interactive offerings , including , the submission of customer reviews , or participation in the Barnes & Noble Book Clubs , you agree to receive communications from Barnes & Noble , other users , and moderators related to the provision of these services .",2.25
These distributors of advertisements may place or access cookies on your computer which help us provide you with advertisements that are customized to your particular product preferences and improve the effectiveness of our marketing efforts .,2.25
"Please understand that Barnes & Noble does not control these third party cookies , and you should check the privacy policy of the Internet advertising company or advertiser to see whether and how it uses cookies .",2.0
"This includes , but is not limited to , instances in which you affirmatively authorize third parties to provide us with information .",2.0
"Such information may be collected via , but not limited to , software applications that you download or use on your Device or that otherwise allow you to interact with the Barnes & Noble enterprise .",2.75
This will enable you to download or stream movies or television shows that you have purchased from us from third party retailers who are part of the UltraViolet content ecosystem .,1.75
Third Party Membership Programs .,2.4
They are contractually obligated to use such information only as necessary to assist us and to maintain the confidentiality and security of such information .,2.4
"If you purchase UltraViolet-enabled movies or television shows from us , we may provide you with the opportunity to link your account with us to your UltraViolet account .",2.0
This information usually includes your name and e-mail address as well as the dollar amount of the purchases made at Barnes & Noble .,1.8
"We require such entities to obtain your consent before we provide them with this information , which they usually do as part of their own membership or participation rules .",2.6
If you are not satisfied with our response you can contact TRUSTe here .,1.0
We disclose only the information that is necessary to make these third party programs work and to support your membership in them .,2.4
Credit card transactions are handled by third party financial institutions and their vendors and contractors who receive credit card numbers and other personal information from us to verify the credit card numbers and process transactions .,1.8
"Barnes & Noble College Booksellers may offer the ability to rent or purchase products or services through financial aid , student loans or similar programs .",2.6
"We share your personal information within the Barnes & Noble enterprise ( i ) to help to ensure that you have a superior shopping or browsing experience no matter where you choose to shop or browse with us , ( ii ) to provide customer support and related services , ( iii ) to provide other services and products that might be of interest to you , ( iv ) to provide and/or manage certain cross-company promotions or programs ( e.g . to honor your Barnes & Noble Member Program rewards ) , ( v ) to facilitate purchases of Devices or content ( or other products ) from within the Barnes & Noble enterprise , ( vi ) if we provide you with in store services and/or customer support for Devices and content , ( vii ) in connection with our commercial arrangements and business relationships within the Barnes & Noble enterprise , and ( viii ) as otherwise reasonably determined to provide a comprehensive retail and digital content experience for our joint customers .",3.3333333333333335
"In addition , Barnes & Noble owns and operates other operations and businesses and we share and use your personal information with our other business units and operations and may continue to do so even after such business units or operations are sold .",4.0
Many of our customers purchase items from us both online and in our stores .,1.6666666666666667
"We may offer you the opportunity to opt-in to receive information from our partners , which may result in your personal information being shared with our partners .",3.2
Our partnerships may also result in products and services that allow you to publish Digital Content that may be shared with our partners .,2.3333333333333335
We provide personal information to our partners that provide product and service offerings or technologies that we think may be of interest to you .,2.6666666666666665
"If you consent to such sharing ( including , without limitation , in connection with using a Microsoft account ) , Microsoft may use your personal information to provide products and services to you related to your Device , Digital Content and Barnes & Noble and Microsoft services and products .",2.0
"As part of our ongoing partnership with Microsoft Corporation ( `` Microsoft '' ) , we may share your personal information with Microsoft and its affiliates and subsidiaries under certain circumstances .",3.6
"For this purpose , we tie the pixel tags and clear gifs to personally identifiable information .",2.0
"To help us understand the effectiveness of certain of our communications and marketing efforts , we may use sensing technologies that use pixel tags or clear GIFs ( which are also called web beacons ) .",3.0
"For more information , please view this third party 's privacy policy .",1.6
You may choose to opt-out of this third party 's analysis of your browsing and purchasing behavior on such Barnes & Noble Website .,1.8
"If we have shared your contact information with any such third parties prior to its receipt of your request , we may not have the ability to prevent such third parties from continuing to use and disclose your contact information , including for the purpose of sending marketing communications to you , and you may need to contact such third parties directly to prevent their further use and disclosure of your contact information .",3.2
"Also note that if you opt out of our marketing communications , we may still email or communicate with you from time to time if we need to provide you with information or request information from you with respect to a transaction initiated by you , or for other service or account-related announcements , such as flight information updates and travel advisories .",3.8
"Furthermore , we reserve the right to provide non-personally identifiable information in aggregated form to any third party for any purpose .",3.2
"If you are a Dividend Miles member , you may access and update your user profile , preferences and the information you have provided us at any time by logging into your Dividend Miles account on usairways.com/myaccount or by calling 800-428-4322 .",2.0
"Dividend Miles members can opt out of receiving promotional communications by email or postal mail from us or our marketing partners , or to prevent us from sharing your personal information with any marketing partners in the future , as follows :",2.8
You may opt out of future email marketing communications received from us or our marketing partners by following the unsubscribe steps described in each such email .,1.8
You may opt out of promotional postal mailings from US Airways or our marketing partners by calling 800-428-4322 .,2.2
"You may opt out by logging into your Dividend Miles account at usairways.com/myaccount or by calling 800-428-4322/TTY 800-245-2966 and please note that once we receive your request , it make take up to 10 days for such opt out to become effective .",2.0
"Unless you opt out as set forth below , by submitting your information when creating a Dividend Miles account , or by other actions you take with us either offline or on our Sites and Services , you give your consent to receive advertising and promotional communications from us and our marketing partners , and for us to share your personal information with our Dividend Miles partners and/or related service providers .",2.0
"At any time , if you would rather us not share your information with our Dividend Miles partners , you may opt out of such sharing as described in the 'Your choices : Marketing preferences ' section below .",2.25
"These partners may receive other information about you as a Dividend Miles member , such as how many miles you have or other non-identifying information permitting them to match you with offers or promotions or services which are expected to be of interest to you .",5.0
Third party marketing partners who may receive email address or other contact information,5.0
"If you are a Dividend Miles member , we may share your email address or name and postal address with program partners and related service providers in order to offer you products or services of interest through promotional emails or in some cases , postal mailings .",5.0
"We may share your personal information with our parent company , any subsidiaries , or other companies or entities under common control with us , in which case we will require such parties to honor this Privacy Policy with respect to such shared information .",5.0
"In the event we undergo a business transition involving another company , such as a merger , corporate reorganization , acquisition , the sale of all or a portion of our assets , or in the event of bankruptcy , information that we have collected from or about you or your devices may be disclosed to such other company as part of the due diligence or business integration process and may be transferred to such company as one of the transferred assets .",5.0
"We do not knowingly solicit , collect or retain any personal information online from children under the age of 13 without parental or guardian consent other than when necessary to provide air travel and related services and/or to comply with any applicable law .",2.6
"Our Sites and Services may , from time to time , provide links to sites operated by third parties .",3.2
"As noted above in the 'Information we collect from/or about the computer or other devices ' section , we allow third parties to place and read cookies and pixels on our domains and , if you have enabled this , on your computer or device so that they can receive certain information about you or your device , though not your contact or payment details .",4.0
"To provide scheduled email newsletters , promotional or special offers such as sweepstakes and contests , and occasional mailings that we believe may be of interest to you .",3.4
"Although we take reasonable steps to protect and to prevent unauthorized access to such information , we can not be responsible for the acts of those who gain unauthorized access , and we make no warranty , express , implied , or otherwise , that we can prevent unauthorized access to any of the information that we collect from or about you or your computer or other device ( s ) .",2.8
"You can learn more about cookies , web beacons such as pixel tags and Clear GIFs , or other tracking technologies by visiting the online resource All About Cookies .",2.0
"We use cookies or other tracking technologies to allow us to offer you enhanced functionality when accessing or using our Sites and Services , which may include recognizing and identifying you or your device when you sign in , and keeping track of your preferences or settings such as language , interests or past transactions so that we may enhance your experience with our Sites and Services .",3.4
"We use cookies that collect information about how you use the Sites and Services , such as the type of device , the operating system , the location , browser types , internet service providers ( ISPs ) , pages visited , frequency of visits , and the number of clicks , and information about your interactions with our Sites and Services .",2.0
"In the course of offering the Sites and Services , we may use cookies or other similar technologies that are necessary to your access and use of the Sites and Services , to assess performance , to enhance functionality and to deliver content , including advertisements , tailored to your interests on our site or third party sites , as described below .",4.2
"We use session cookies , which are temporary and exist while a visitor is reading and navigating our websites , then are normally deleted when you close your browser .",2.6
We may use the information automatically collected from your computer or other devices for the following uses :,3.8
"When you use the US Airways App , your device may be redirected to one or more of our webpages as we execute the various instructions ( i.e. , to make or change a reservation , to check-in , to check flight status , to create or modify your Dividend Miles profile , or otherwise to transmit data to or from the backend servers through which we deliver our services ) .",3.0
"Please note that we may share information that we collect from and about you and your devices with our Dividend Miles partners , service providers and other third parties , as described in the 'Who we share your information with ' section below .",4.0
To customize and serve advertising and other marketing communications that may be visible to you on our Sites and Services or elsewhere on the internet .,4.0
"We protect this information by maintaining administrative , physical and technical safeguards that are consistent with industry practice and that we believe are reasonably appropriate to protect your information .",3.6
"We may disclose information about you or your devices , including data identifying you , your travel plans , history or status when compelled or requested to do so by U.S. or foreign law enforcement or government authorities , pursuant to a court order , subpoena , or other legal or regulatory requirements , or when we believe in good faith that it is in the interests of aviation security or that disclosure is otherwise necessary or advisable .",4.6
"Please understand we have no control over those sites ' privacy policies or their use of personal information that you may disclose to them and as such , US Airways can not be held responsible with respect to such disclosure .",2.6
"These sites are governed by different privacy policies , or may not have privacy policies .",3.0
Third parties using cookies and pixels to target advertisements,3.75
"When you enroll in the Dividend Miles program , you may also elect to receive information and promotional materials from these partners .",2.2
"We collect some information from you directly ( i.e. , when you book a flight or create a frequent flier profile ) , and other information by automated means from your computer , smartphone , or other device you use to access our websites or mobile applications .",3.2
"In addition , we may use this information for the following :",2.2
To administer and deliver the benefits of the various Dividend Miles programs ;,1.8
"To enhance or customize the products and services we , or other third parties as described below , provide to you ( for example , at the explicit request of a Dividend Miles member , storing payment information to make subsequent purchases more convenient ) ;",2.6
You may change this location election at any time by disabling the location tracking features in your device 's settings .,2.6666666666666665
"Second , we may access and use your device 's location information in connection with the 'find airports near me ' feature .",2.3333333333333335
"First , the US Airways App may access the unique identifier on your mobile device though we will not store this information .",2.6
"In addition to the information about yourself which you actively provide to us within the US Airways App or the linked-to webpages , the US Airways App may also collect additional data elements in order to offer you additional services .",4.0
"Third , you may elect to allow the US Airways App to store your Dividend Miles number , itinerary , user name and password locally on your device to allow the app to automatically log you in to your Dividend Miles account , or to permit you to access the information when you are not connected to the internet .",2.6666666666666665
"We also contract with parties identified below to aggregate information about users of our Sites and Services for purposes of creating targeted advertising packages and campaigns on usairways.com domains or other third party sites or networks , so that for example a relevant US Airways advertisement is displayed to you elsewhere on the internet .",2.8
"For example , a contract partner may receive non-identifying information such as flight details , gender , and whether you are a Dividend Miles member , so that your printed boarding pass will include advertisements relevant to your destination .",2.75
"If you disable , block , or reject cookies , the performance of the Sites and Services or our ability to provide you our services may be affected .",2.6
"If you do disable , block , or reject cookies , then we will still detect an anonymous visit , but the notices that the cookies generate can not be associated with your particular preferences .",2.0
"Generally , you can find directions to manage and turn off cookies in the Privacy and Security settings in the Help function of your browser .",2.4
"If you do not want your cookie information to be associated with your visits to these Sites and Services , then you may set your browser to disable , block , or reject cookies .",2.0
Web beacons usually work in conjunction with cookies .,2.4
"We also may share the information you provide about yourself , such as in creating a profile or making a reservation , with companies who perform services on our behalf , including , but not limited to , payment processing , marketing assistance , email delivery , hosting services , customer service , and data analysis .",2.4
Third party service providers,2.4
"In addition , when you purchase services or products through us that are to be provided by another party , such as a travel segment on another airline , hotel accommodations , travel insurance , or a rental car , we share your information with the third party service provider so that they can provide the services or products you requested .",2.2
We contractually obligate these third party service providers to protect the confidentiality of the information disclosed to them and they are not permitted to use your information for any purpose other than to provide services to US Airways .,2.8
We will not knowingly cause or permit personal details such as your contact information or payment information to be provided to these third party interest-based advertising partners .,2.8
"We reserve the right to use any information we collect from or about you or your computer and/or other device ( s ) in order to protect or enforce our rights , or the rights of our affiliates , customers and marketing partners .",3.2
We may also receive information about you from such third party service providers related to these transactions .,3.0
This page will be updated to reflect any such changes so you should review this page regularly for the most recent version of our Privacy Policy .,1.8
"In order to sell and promote commercial air travel and other products and services , we collect and maintain certain information about you and your device ( s ) as you interact with our Sites and Services .",2.8
We share with these partners certain information you have provided to us to the extent needed to administer and deliver the benefits of the Dividend Miles program and its related services such as debiting or crediting your mileage balance when you use or earn miles .,3.8
"These technologies allow us to measure whether a certain page was visited , an email was opened , or if ad banners on our websites and other sites were effective , for example and generally help us to understand how visitors use our Sites and Services , and allow us to improve our Sites and Services .",2.8
"If you are a Dividend Miles member , we may link this device or behavioral information with your member profile or other information about you which you provide , such as in the course of creating a profile or making a reservation or purchasing services for the purpose of serving advertisements targeted to your interests or profile at usairways.com and elsewhere on the internet .",2.6
The Advertising or Targeting-Related tracking technologies allow US Airways and select partners ( described in more detail in 'Your choices : Cookie management ' below ) to automatically receive certain types of information about your device or your interactions with our Sites and Services .,2.6
"If you wish to disable , block , or reject cookies or other tracking technologies , please see the 'Cookie management : Your choices ' section below , though this may affect the quality of service we can provide you .",2.6
"In addition to eligibility for these program benefits , customers who create a Dividend Miles account profile can personalize and improve their online or mobile experiences by receiving access to specialized areas of the Sites and Services , including the Dividend Miles and Dividend Miles 'Book award travel ' areas .",2.6
"As noted above , this Privacy Policy is subject to change from time to time .",3.3333333333333335
"If you have any questions about this privacy statement , the practices of this site , or your dealings with this Web site , you can contact us",1.6
"If you would like more information about this practice and to know your choices about not having this information used by these companies , please click here .",2.2
"These companies may use information ( not including your name , address , email address or telephone number ) about your visits to this and other Web sites in order to provide advertisements on this site and other sites about goods and services that may be of interest to you .",2.8
"In the course of serving advertisements to this site , our third-party advertiser may place or recognize a unique `` cookie '' on your browser .",2.8
We encourage you to review the Privacy Policy whenever you interact with us to stay informed about our information practices and the ways you can help protect your privacy .,1.0
"If we make changes , we will notify you by revising the date at the top of this policy , and in some cases , we may provide you with additional notice ( such as adding a statement to the homepages of our websites or sending you an email notification ) .",2.0
"In some cases , we may also collect information you provide about others , such as when you purchase a gift card for someone and request that we deliver it electronically , create and share a `` wish list '' or decide to purchase and ship products to someone .",2.5
"The types of information we may collect include your name , email address , zip code , billing address , shipping address , phone number , payment card information , product preferences , demographic information and any other information you choose to provide .",2.0
"For example , we collect information when you use our websites , shop in our stores , call us on the phone , create an online account , sign up to receive our emails , request a catalog , participate in a sweepstakes , contest , promotion or survey , communicate with us via third party social media sites , request customer support , apply for a job or otherwise communicate with us .",1.75
"We automatically collect certain information about you when you access or use our websites or transact business with us , including :",2.5
We may also work with third parties to serve ads to you as part of a customized campaign on other websites or platforms .,2.4
"This information may be used by us and others to , among other things , analyze and track data , determine the popularity of certain content , deliver advertising and content targeted to your interests on our websites and other websites and better understand your online activity .",3.0
"These entities may use cookies , web beacons and other technologies to collect information about your use of our websites , such as your IP address , web browser , pages viewed , time spent on pages , links clicked and conversion information .",2.6
We engage third parties to serve advertisements on our behalf across the Internet and to provide analytics services .,1.8
"You can also contact us if you wish to deactivate your online account , but note that we may retain certain information as required by law or for legitimate business purposes .",2.4
"You may update , correct or delete your online account information at any time by logging into your account and navigating to the `` My Account '' page or by contacting us .",1.2
"We may use information about you for various purposes , including to :",3.8
We may also obtain information about you from other sources and combine that with information we collect about you .,4.2
"Information Collected by Cookies and Other Tracking Technologies : We may use cookies , web beacons ( also known as `` tracking pixels '' ) and other tracking technologies to collect information about you when you interact with our websites or emails , including information about your browsing and purchasing behavior .",2.75
"We may combine this information with other information we collect about you and use it for various purposes , such as improving our websites and your online experience , understanding which areas and features of our sites are popular , counting visits , understanding campaign effectiveness , tailoring our communications with you , determining whether an email has been opened and links within the email have been clicked and for other internal business purposes .",3.6
We may also retain cached or archived copies of information about you for a certain period of time .,2.8
You can opt out of receiving promotional communications from us at any time by doing the following :,1.0
"Please note that even if you opt out of receiving promotional communications , we may continue to send you non-promotional emails , such as those about your account or our ongoing business relations .",1.4
Most web browsers are set to accept cookies by default .,2.0
"If you prefer , you can usually set your browser to remove or reject cookies , but note that doing so does not necessarily affect third party flash cookies used in connection with our websites .",2.8
"In addition , many web browsers support Do Not Track technology .",2.4
"Please note that if you choose to remove or reject cookies , this could affect the availability and functionality of our websites .",2.2
Link or combine with information we get from others to help understand your needs and provide you with better service ; and,2.8
We may share information about you as follows :,2.6
"With vendors , consultants and other service providers who need access to such information to carry out work on our behalf ;",3.4
California law permits residents of California to request certain details about how their information is shared with third parties for direct marketing purposes .,4.0
J.Crew permits California residents to opt out of having their information shared with third parties for direct marketing purposes .,2.6
"This Privacy Policy describes how J.Crew Group , Inc. and our brands and subsidiaries ( including but not limited to J.Crew , crewcuts , Factory and Madewell ) ( collectively , `` J.Crew , '' `` we '' or `` us '' ) collect , use and share information about you .",1.6
We may change this Privacy Policy from time to time .,2.2
"We may also share aggregated or de-identified information , which can not reasonably be used to identify you .",3.2
"If we believe your actions are inconsistent with our user agreements or policies , or to protect the rights , property and safety of us or any third party ;",2.6
"With our business partners and other third parties for purposes of sending their own direct mail , unless you opt out of this type of sharing by logging into your online account and changing your preferences or by contacting us",2.8
The information and analysis provided by our service provider ( s ) will be used to assist us in better understanding our visitors ' interests in our Site and how to better serve those interests .,2.6666666666666665
The information collected by our service provider ( s ) may be linked to and combined with information that we collect about you while you are using the Platform .,3.3333333333333335
"Our service provider ( s ) will place cookies on the hard drive of your computer and will receive information that we select that will educate us on such things as how visitors navigate around our site , what products are browsed , and general Transaction information .",2.6
Our service provider ( s ) analyses this information and provides us with aggregate reports .,1.8
"With this knowledge , we can improve the quality of your experience on the Platform by recognizing and delivering more of the most desired features and information , as well as by resolving access difficulties .",2.4
"We also use cookies and/or a technology known as web bugs or clear gifs , which are typically stored in emails to help us confirm your receipt of , and response to , our emails and to provide you with a more personalized experience when using our Site.We use third party service provider ( s ) , to assist us in better understanding the use of our Site .",2.4
The information collected from cookies allows us to determine such things as which parts of our Site are most visited and difficulties our visitors may experience in accessing our Site .,1.8
